ssn,name,race,country,sentence_length
124-72-8073,Roch Cumo,Lumbee,Indonesia,312
802-73-7451,Eadie Hadfield,Ecuadorian,Japan,387
846-10-7603,Gordy Gurdon,Chamorro,China,243
284-13-8177,Amanda Cripin,Tohono O'Odham,Portugal,15
609-43-2710,Andria Audibert,Sioux,China,225
623-16-8036,Kyrstin Bamell,Asian,Sweden,351
484-69-2586,Obed Farrer,Kiowa,Thailand,233
505-18-9723,Tamarra Jancik,Costa Rican,Indonesia,163
100-15-0084,Arda Kitchiner,Pakistani,Indonesia,10
225-74-7788,Allie Rugg,Ecuadorian,China,127
611-49-9960,Leia Lockhart,Asian,Indonesia,228
380-69-8353,Juliet Joe,Ecuadorian,Antigua and Barbuda,107
144-82-4597,Kelsey Starcks,Yuman,Colombia,154
838-01-3315,Giralda Esherwood,Samoan,Morocco,253
670-30-0167,Mignon Tooting,Sri Lankan,Indonesia,267
600-01-2245,Thaddus Grason,Cheyenne,United States,160
104-68-0470,Stern Longwood,Yakama,China,193
707-77-0624,Guinevere Tripean,Choctaw,United States,170
202-14-6176,Ira Dutton,Indonesian,Ukraine,114
180-74-2316,Jaquenetta Robus,Salvadoran,Morocco,308
107-23-0295,Kathy Bellord,Taiwanese,China,110
325-32-4544,Gayla Gullefant,Houma,Macedonia,210
506-33-5235,Alvan Munkley,Shoshone,Brazil,22
139-60-2955,Zabrina Atkins,Native Hawaiian and Other Pacific Islander (NHPI),Brazil,59
367-80-9692,Ondrea Halfhide,Navajo,China,110
895-11-9959,Brook Dykins,Colombian,Finland,335
157-24-9365,Durante Loade,Filipino,China,108
866-97-4425,Madelene Zuann,Honduran,Argentina,170
884-85-4021,Andrea Leates,Latin American Indian,Georgia,6
835-80-1757,Eric Trasler,Honduran,Indonesia,155
503-80-8177,Gabrila Milburne,Thai,Chile,269
104-43-8636,Pincas Newcomb,Chamorro,Spain,261
649-74-4310,Harmony Alsford,Asian,France,320
161-50-4983,Francoise Fildes,Indonesian,China,128
636-43-6401,Mathilda Trinke,Cherokee,Sweden,79
534-21-8261,Jacki Nassau,Black or African American,Kazakhstan,33
625-26-2714,Lucias Gumey,Cherokee,Sweden,172
613-84-9910,Marylou Forestel,Venezuelan,Vietnam,8
869-53-0465,Mervin Varndall,Nicaraguan,Portugal,202
160-72-5047,Anselma Fontenot,Delaware,Ukraine,169
